label,id,x,y,width,height,area
P1,258,206,46,16,29,246.0
P2,257,219,49,20,30,345.0
P3,256,235,53,17,30,265.5
P4,255,249,57,18,30,316.5
P5,254,264,60,19,31,329.0
P6,253,279,64,19,31,336.5
P7,252,295,68,19,30,329.0
P8,251,310,72,19,30,322.5
P9,250,198,76,16,30,249.0
P10,249,325,76,19,30,309.0
P11,248,211,79,19,30,325.0
P12,247,340,79,17,30,263.5
P13,246,226,83,18,30,294.5
P14,245,353,83,20,31,352.5
P15,244,241,87,18,29,308.0
P16,243,369,87,21,31,386.5
P17,242,256,91,19,29,334.5
P18,241,91,94,36,16,383.0
P19,240,273,95,18,28,295.0
P20,239,287,99,19,28,311.0
P21,238,303,103,18,28,283.0
P22,237,318,107,17,27,247.5
P23,236,89,108,36,16,392.5
P24,235,331,110,17,27,232.5
P25,234,345,114,20,27,315.5
P26,233,362,118,20,27,322.5
P27,232,88,124,34,16,370.0
P28,231,86,139,34,15,303.0
P29,230,177,139,20,25,290.0
P30,229,194,143,19,26,295.5
P31,228,211,147,16,26,237.5
P32,227,225,151,19,26,300.0
P33,226,84,152,33,17,338.0
P34,225,242,155,16,26,234.0
P35,224,256,159,16,25,253.0
P36,223,270,162,18,27,284.0
P37,222,167,164,23,35,437.0
P38,221,82,166,33,18,359.0
P39,220,285,166,18,26,266.5
P40,219,184,169,23,34,447.0
P41,218,300,170,18,27,280.0
P42,217,202,173,19,34,351.0
P43,216,316,174,18,27,283.0
P44,215,217,177,20,34,393.0
P45,214,331,178,15,26,195.5
P46,213,231,181,20,33,322.0
P47,212,343,181,17,27,258.0
P48,211,80,183,32,17,341.0
P49,210,247,185,19,33,351.0
P50,209,263,189,18,32,317.5
P51,208,277,193,19,32,326.0
P52,207,78,197,32,19,375.5
P53,206,291,197,21,32,362.0
P54,205,308,201,19,31,329.5
P55,204,323,205,16,30,239.0
P56,203,335,208,18,31,322.5
P57,202,77,215,30,15,300.0
P58,201,75,229,30,16,310.5
P59,200,155,234,19,29,297.0
P60,199,170,238,19,29,304.5
P61,198,185,241,18,29,308.0
P62,197,73,244,29,15,278.0
P63,196,200,245,19,29,301.5
P64,195,215,248,18,30,290.5
P65,194,230,252,17,29,286.5
P66,193,244,256,18,29,314.5
P67,192,71,258,29,18,347.5
P68,191,260,259,18,30,314.0
P69,190,275,263,18,29,301.5
P70,189,147,264,18,27,270.5
P71,188,162,267,18,28,284.5
P72,187,290,267,17,29,266.0
P73,186,177,271,19,28,302.5
P74,185,304,271,17,28,293.0
P75,184,319,274,20,30,357.5
P76,183,69,275,28,16,281.0
P77,182,193,275,18,27,282.0
P78,181,208,278,18,28,296.0
P79,180,223,282,17,28,272.0
P80,179,238,285,18,29,308.0
P81,178,253,289,18,29,302.0
P82,177,67,290,28,17,325.5
P83,176,269,293,16,28,265.5
P84,175,282,296,17,29,279.5
P85,174,297,300,18,29,308.5
P86,173,312,304,19,29,332.0
P87,172,66,307,26,14,245.5
P88,171,64,320,26,18,306.5
P89,170,159,332,22,29,372.5
P90,169,62,337,25,15,247.0
P91,168,177,337,17,27,248.0
P92,167,191,340,17,28,269.0
P93,166,205,343,18,28,285.0
P94,165,220,347,20,28,329.0
P95,164,236,351,16,27,228.5
P96,163,249,354,20,28,332.5
P97,162,265,358,19,28,291.0
P98,161,151,361,21,27,347.0
P99,160,281,361,17,28,257.0
P100,159,295,364,18,29,306.5
P101,158,169,365,17,26,247.5
P102,157,184,368,17,27,262.0
P103,156,199,372,17,26,267.0
P104,155,214,376,17,26,274.5
P105,154,229,379,15,26,214.0
P106,153,241,382,20,26,297.5
P107,152,258,386,18,26,279.5
P108,151,274,390,16,26,244.0
P109,150,288,393,18,26,283.0
P110,149,118,423,18,28,278.5
P111,148,133,426,18,29,278.5
P112,147,148,430,19,29,333.5
P113,146,23,433,57,172,4475.0
P114,145,164,433,16,30,255.0
P115,144,177,436,22,31,384.0
P116,143,49,438,25,15,247.5
P117,142,194,440,18,30,277.0
P118,141,208,444,19,30,333.0
P119,140,223,447,19,31,318.0
P120,139,238,450,18,32,298.0
P121,138,110,451,19,28,292.0
P122,137,48,453,23,14,196.0
P123,136,252,454,19,31,329.0
P124,135,126,455,17,28,267.0
P125,134,266,457,21,33,380.0
P126,133,140,459,19,28,318.5
P127,132,283,461,19,33,353.0
P128,131,156,463,17,28,271.5
P129,130,299,464,17,34,325.5
P130,129,45,465,24,17,271.5
P131,128,172,467,17,27,280.0
P132,127,313,467,16,34,310.5
P133,126,186,471,18,27,276.0
P134,125,201,475,18,26,280.0
P135,124,216,479,18,26,272.0
P136,123,43,482,24,14,224.0
P137,122,231,483,17,26,246.5
P138,121,363,484,19,26,302.0
P139,120,245,486,17,26,241.5
P140,119,380,488,17,26,260.0
P141,118,259,490,20,26,326.0
P142,117,395,492,18,25,277.5
P143,116,277,494,17,26,282.0
P144,115,40,496,25,15,248.0
P145,114,412,496,16,24,237.0
P146,113,293,498,16,26,246.5
P147,112,426,500,17,24,245.0
P148,111,442,503,19,25,302.5
P149,110,459,508,18,23,257.5
P150,109,38,510,25,17,263.5
P151,108,106,511,17,28,288.5
P152,107,357,511,19,29,350.0
P153,106,373,514,18,30,311.5
P154,105,121,515,22,29,398.0
P155,104,389,518,19,29,343.0
P156,103,140,520,17,27,248.5
P157,102,405,521,17,30,286.5
P158,101,153,524,18,27,272.5
