label,id,x,y,width,height,area
P1,240,65,4,15,12,63.5
P2,239,491,23,21,26,238.5
P3,238,478,31,22,28,259.5
P4,237,462,41,24,29,291.5
P5,236,448,50,23,28,289.0
P6,235,434,61,22,27,283.5
P7,234,419,71,22,27,278.0
P8,233,404,79,23,28,282.5
P9,232,601,88,30,22,297.5
P10,231,389,91,22,26,266.0
P11,230,373,100,25,26,293.0
P12,229,571,103,29,22,259.0
P13,228,608,103,30,23,356.5
P14,227,358,109,25,28,300.0
P15,226,577,117,32,25,357.5
P16,225,616,117,30,25,339.5
P17,224,343,120,25,26,288.0
P18,223,328,129,25,25,257.5
P19,222,507,130,30,23,321.0
P20,221,586,134,30,23,325.0
P21,220,623,134,33,24,413.5
P22,219,314,138,25,27,298.5
P23,218,514,145,31,24,345.0
P24,217,477,147,29,23,267.0
P25,216,299,148,25,26,268.0
P26,215,592,148,32,25,396.5
P27,214,631,150,32,24,356.5
P28,213,284,156,26,28,320.0
P29,212,484,160,30,24,361.5
P30,211,521,162,31,24,355.0
P31,210,600,165,32,24,355.0
P32,209,638,165,34,24,401.0
P33,208,269,166,25,29,315.0
P34,1,176,176,63,69,2517.0
P35,207,491,176,31,23,344.5
P36,206,528,177,33,25,401.0
P37,205,253,178,26,26,317.5
P38,204,606,180,33,25,393.5
P39,203,645,180,34,25,400.5
P40,202,406,182,29,23,300.0
P41,201,498,192,32,24,367.5
P42,200,536,194,33,23,352.0
P43,199,614,196,33,24,389.5
P44,198,653,196,33,25,415.5
P45,197,375,198,30,23,282.0
P46,196,412,198,30,23,335.5
P47,195,544,208,33,25,384.5
P48,194,507,209,30,22,325.0
P49,193,621,211,34,26,436.0
P50,192,420,212,31,25,353.5
P51,191,381,213,32,23,344.5
P52,190,662,213,32,25,378.5
P53,189,551,223,33,25,384.0
P54,188,514,224,31,23,368.0
P55,187,427,228,33,26,399.5
P56,186,390,229,30,24,336.5
P57,185,630,229,32,24,388.5
P58,184,670,229,32,24,365.0
P59,183,311,231,30,21,288.0
P60,182,161,236,21,29,313.5
P61,181,559,238,34,27,441.5
P62,180,521,240,32,23,349.5
P63,179,396,244,32,25,375.5
P64,178,678,245,32,24,356.0
P65,177,318,246,31,22,342.0
P66,176,435,246,32,23,318.0
P67,175,638,246,32,22,356.5
P68,174,149,247,19,26,229.5
P69,173,282,247,28,20,258.5
P70,172,528,255,33,26,424.5
P71,171,132,256,22,27,286.5
P72,170,567,256,34,26,428.5
P73,169,442,260,34,25,384.0
P74,168,288,261,30,24,346.0
P75,167,326,261,30,23,335.0
P76,166,405,261,31,22,313.0
P77,165,645,261,33,24,360.0
P78,164,685,262,32,22,334.0
P79,163,116,265,23,30,338.5
P80,162,536,271,33,26,405.0
P81,161,575,272,34,26,410.5
P82,160,103,275,21,29,301.0
P83,159,411,275,32,25,374.5
P84,158,450,275,33,25,393.5
P85,157,294,276,32,24,347.0
