label,type,zone,zone_label,id,x,y,width,height,area
P1,Regular,A,Zone A,240,65,4,15,12,63.5
P2,Regular,C,Zone C,239,491,23,21,26,238.5
P3,Regular,C,Zone C,238,478,31,22,28,259.5
P4,Regular,C,Zone C,237,462,41,24,29,291.5
P5,Regular,C,Zone C,236,448,50,23,28,289.0
P6,Regular,C,Zone C,235,434,61,22,27,283.5
P7,Regular,C,Zone C,234,419,71,22,27,278.0
P8,Regular,C,Zone C,233,404,79,23,28,282.5
P9,Regular,C,Zone C,232,601,88,30,22,297.5
P10,Regular,C,Zone C,231,389,91,22,26,266.0
P11,Regular,C,Zone C,230,373,100,25,26,293.0
P12,Regular,C,Zone C,229,571,103,29,22,259.0
P13,Regular,C,Zone C,228,608,103,30,23,356.5
P14,Regular,A,Zone A,227,358,109,25,28,300.0
P15,Regular,C,Zone C,226,577,117,32,25,357.5
P16,Regular,C,Zone C,225,616,117,30,25,339.5
P17,Regular,A,Zone A,224,343,120,25,26,288.0
P18,Regular,A,Zone A,223,328,129,25,25,257.5
P19,Regular,C,Zone C,222,507,130,30,23,321.0
P20,Regular,C,Zone C,221,586,134,30,23,325.0
P21,Regular,C,Zone C,220,623,134,33,24,413.5
P22,Regular,A,Zone A,219,314,138,25,27,298.5
P23,Regular,C,Zone C,218,514,145,31,24,345.0
P24,Regular,C,Zone C,217,477,147,29,23,267.0
P25,Regular,A,Zone A,216,299,148,25,26,268.0
P26,Regular,C,Zone C,215,592,148,32,25,396.5
P27,Regular,C,Zone C,214,631,150,32,24,356.5
P28,Regular,A,Zone A,213,284,156,26,28,320.0
P29,Regular,C,Zone C,212,484,160,30,24,361.5
P30,Regular,C,Zone C,211,521,162,31,24,355.0
P31,Regular,C,Zone C,210,600,165,32,24,355.0
P32,Regular,C,Zone C,209,638,165,34,24,401.0
P33,Regular,A,Zone A,208,269,166,25,29,315.0
P34,Regular,C,Zone C,207,491,176,31,23,344.5
P35,Regular,C,Zone C,206,528,177,33,25,401.0
P36,Regular,A,Zone A,205,253,178,26,26,317.5
P37,Regular,C,Zone C,204,606,180,33,25,393.5
P38,Regular,C,Zone C,203,645,180,34,25,400.5
P39,Regular,C,Zone C,202,406,182,29,23,300.0
P40,Regular,C,Zone C,201,498,192,32,24,367.5
P41,Regular,C,Zone C,200,536,194,33,23,352.0
P42,Regular,C,Zone C,199,614,196,33,24,389.5
P43,Regular,C,Zone C,198,653,196,33,25,415.5
P44,Regular,C,Zone C,197,375,198,30,23,282.0
P45,Regular,C,Zone C,196,412,198,30,23,335.5
P46,Regular,C,Zone C,195,544,208,33,25,384.5
P47,Regular,C,Zone C,194,507,209,30,22,325.0
P48,Regular,C,Zone C,193,621,211,34,26,436.0
P49,Regular,C,Zone C,192,420,212,31,25,353.5
P50,Regular,C,Zone C,191,381,213,32,23,344.5
P51,Regular,C,Zone C,190,662,213,32,25,378.5
P52,Regular,C,Zone C,189,551,223,33,25,384.0
P53,Regular,C,Zone C,188,514,224,31,23,368.0
P54,Regular,C,Zone C,187,427,228,33,26,399.5
P55,Regular,C,Zone C,186,390,229,30,24,336.5
P56,Regular,C,Zone C,185,630,229,32,24,388.5
P57,Regular,C,Zone C,184,670,229,32,24,365.0
P58,Regular,A,Zone A,183,311,231,30,21,288.0
P59,Regular,A,Zone A,182,161,236,21,29,313.5
P60,Regular,C,Zone C,181,559,238,34,27,441.5
P61,Regular,C,Zone C,180,521,240,32,23,349.5
P62,Regular,C,Zone C,179,396,244,32,25,375.5
P63,Regular,C,Zone C,178,678,245,32,24,356.0
P64,Regular,A,Zone A,177,318,246,31,22,342.0
P65,Regular,C,Zone C,176,435,246,32,23,318.0
P66,Regular,C,Zone C,175,638,246,32,22,356.5
P67,Regular,A,Zone A,174,149,247,19,26,229.5
P68,Regular,A,Zone A,173,282,247,28,20,258.5
P69,Regular,C,Zone C,172,528,255,33,26,424.5
P70,Regular,A,Zone A,171,132,256,22,27,286.5
P71,Regular,C,Zone C,170,567,256,34,26,428.5
P72,Regular,C,Zone C,169,442,260,34,25,384.0
P73,Regular,A,Zone A,168,288,261,30,24,346.0
P74,Regular,A,Zone A,167,326,261,30,23,335.0
P75,Regular,C,Zone C,166,405,261,31,22,313.0
P76,Regular,C,Zone C,165,645,261,33,24,360.0
P77,Regular,C,Zone C,164,685,262,32,22,334.0
P78,Regular,A,Zone A,163,116,265,23,30,338.5
P79,Regular,C,Zone C,162,536,271,33,26,405.0
P80,Regular,C,Zone C,161,575,272,34,26,410.5
P81,Regular,A,Zone A,160,103,275,21,29,301.0
P82,Regular,C,Zone C,159,411,275,32,25,374.5
P83,Regular,C,Zone C,158,450,275,33,25,393.5
P84,Regular,A,Zone A,157,294,276,32,24,347.0
P85,Regular,C,Zone C,156,653,276,33,24,353.5
P86,Regular,A,Zone A,155,333,277,33,25,401.0
P87,Regular,A,Zone A,154,89,284,23,29,345.5
P88,Regular,C,Zone C,153,543,288,33,25,412.0
P89,Regular,C,Zone C,152,582,288,34,25,401.0
P90,Regular,C,Zone C,151,418,291,33,24,386.5
P91,Regular,C,Zone C,150,457,291,35,26,452.5
P92,Regular,A,Zone A,149,217,292,29,23,289.5
P93,Regular,A,Zone A,148,73,293,24,30,385.5
P94,Regular,A,Zone A,147,303,293,32,23,371.5
P95,Regular,A,Zone A,146,342,293,30,23,305.5
P96,Regular,A,Zone A,145,56,303,26,31,449.5
P97,Regular,C,Zone C,144,551,303,33,25,394.0
P98,Regular,C,Zone C,143,592,303,31,25,329.5
P99,Regular,C,Zone C,142,426,306,34,27,448.0
P100,Regular,A,Zone A,141,223,307,31,23,348.0
P101,Regular,A,Zone A,140,349,308,31,25,341.5
P102,Regular,C,Zone C,139,465,308,34,25,409.5
