sequential_label,category_label,category,x,y,width,height,area,center_x,center_y
S1,P245,Regular,198,27,13,23,140.0,204,38
S2,P244,Regular,210,30,17,25,211.5,218,42
S3,P243,Regular,226,35,13,23,156.5,232,46
S4,P242,Regular,238,37,16,25,221.5,246,49
S5,P241,Regular,252,40,16,26,236.5,260,53
S6,P240,Regular,267,43,16,27,246.5,275,56
S7,P239,Regular,282,47,15,26,226.0,289,60
S8,P238,Regular,297,51,14,27,207.0,304,64
S9,P237,Regular,311,54,14,27,213.0,318,67
S10,P236,Regular,191,55,11,25,134.0,196,67
S11,P235,Regular,203,58,15,25,208.0,210,70
S12,P234,Regular,325,58,13,25,179.0,331,70
S13,P233,Regular,217,61,15,25,189.5,224,73
S14,P232,Regular,336,61,18,27,245.5,345,74
S15,P231,Regular,231,65,15,25,217.0,238,77
S16,P230,Regular,352,65,18,27,264.0,361,78
S17,P229,Regular,245,68,16,26,232.5,253,81
S18,P228,Regular,89,71,32,12,249.5,105,77
S19,P227,Regular,261,72,14,25,216.0,268,84
S20,P226,Regular,275,76,15,25,220.0,282,88
S21,P225,Regular,290,79,14,25,195.5,297,91
S22,P224,Regular,303,83,14,24,178.5,310,95
S23,P223,Regular,87,84,31,14,266.0,102,91
S24,P222,Regular,317,87,13,22,146.0,323,98
S25,P221,Regular,329,90,17,24,234.5,337,102
S26,P220,Regular,346,93,15,24,211.0,353,105
S27,P219,Regular,85,100,31,13,234.5,100,106
S28,P218,Regular,84,114,29,11,176.5,98,119
S29,P217,Regular,171,115,15,20,192.5,178,125
S30,P216,Regular,187,118,15,22,194.5,194,129
S31,P215,Regular,204,123,12,21,153.0,210,133
S32,P214,Regular,216,125,16,23,214.5,224,136
S33,P213,Regular,82,126,30,13,222.5,97,132
S34,P212,Regular,232,129,13,23,168.5,238,140
S35,P211,Regular,244,133,15,22,191.0,251,144
S36,P210,Regular,259,136,14,23,205.5,266,147
S37,P209,Regular,161,139,19,29,306.5,170,153
S38,P208,Regular,80,140,29,14,233.0,94,147
S39,P207,Regular,273,140,15,23,201.5,280,151
S40,P206,Regular,177,143,20,30,307.0,187,158
S41,P205,Regular,287,143,15,24,206.5,294,155
S42,P204,Regular,196,147,15,29,228.0,203,161
S43,P203,Regular,302,148,14,22,199.5,309,159
S44,P202,Regular,210,150,15,29,273.5,217,164
S45,P201,Regular,316,151,12,22,131.0,322,162
S46,P200,Regular,224,154,15,28,210.5,231,168
S47,P199,Regular,329,154,11,23,146.5,334,165
S48,P198,Regular,79,155,27,14,223.5,92,162
S49,P197,Regular,237,157,16,30,253.5,245,172
S50,P196,Regular,252,162,15,28,230.5,259,176
S51,P195,Regular,264,165,17,28,254.5,272,179
S52,P194,Regular,279,169,16,27,255.0,287,182
S53,P193,Regular,77,170,27,13,246.0,90,176
S54,P192,Regular,294,173,15,27,228.5,301,186
S55,P191,Regular,309,176,13,27,170.5,315,189
S56,P190,Regular,320,179,15,27,238.5,327,192
S57,P189,Regular,75,186,26,11,178.5,88,191
S58,P188,Regular,73,200,26,11,205.0,86,205
S59,P187,Regular,150,205,14,23,173.0,157,216
S60,P186,Regular,164,208,14,24,183.5,171,220
S61,P185,Regular,178,212,16,24,203.0,186,224
S62,P184,Regular,71,213,26,12,185.0,84,219
S63,P183,Regular,193,215,14,25,193.0,200,227
S64,P182,Regular,207,218,13,25,175.0,213,230
S65,P181,Regular,221,222,13,25,199.5,227,234
S66,P180,Regular,234,224,15,27,238.0,241,237
S67,P179,Regular,69,227,26,14,232.5,82,234
S68,P178,Regular,248,228,16,26,240.0,256,241
S69,P177,Regular,263,232,15,25,231.5,270,244
S70,P176,Regular,143,233,13,22,158.0,149,244
S71,P175,Regular,277,235,14,26,198.0,284,248
S72,P174,Regular,157,236,15,22,173.0,164,247
S73,P173,Regular,290,239,15,25,217.5,297,251
S74,P172,Regular,172,240,14,23,197.5,179,251
S75,P171,Regular,68,242,23,13,179.0,79,248
S76,P170,Regular,187,242,12,24,176.5,193,254
S77,P169,Regular,305,243,16,24,221.0,313,255
S78,P168,Regular,200,247,14,23,183.5,207,258
S79,P167,Regular,214,249,14,25,194.0,221,261
S80,P166,Regular,228,252,15,25,223.5,235,264
S81,P165,Regular,242,256,15,25,217.0,249,268
S82,P164,Regular,66,257,24,14,214.0,78,264
S83,P163,Regular,257,259,14,25,198.0,264,271
S84,P162,Regular,270,263,14,26,215.0,277,276
S85,P161,Regular,283,266,16,26,238.5,291,279
S86,P160,Regular,298,270,16,25,243.0,306,282
S87,P159,Regular,65,273,23,11,130.5,76,278
S88,P158,Regular,63,285,22,14,203.0,74,292
S89,P157,Regular,154,298,16,23,247.5,162,309
S90,P156,Regular,171,301,12,24,153.5,177,313
S91,P155,Regular,61,302,22,11,145.5,72,307
S92,P154,Regular,184,304,12,24,165.5,190,316
S93,P153,Regular,197,308,14,23,166.0,204,319
S94,P152,Regular,212,311,15,25,206.5,219,323
S95,P151,Regular,226,315,13,24,133.0,232,327
S96,P150,Regular,238,318,16,24,222.0,246,330
S97,P149,Regular,254,322,14,23,191.5,261,333
S98,E2,Entry,23,323,90,68,4052.0,68,357
S99,P148,Regular,147,324,17,23,230.0,155,335
S100,P147,Regular,269,325,13,23,168.0,275,336
S101,P146,Regular,282,328,14,24,198.5,289,340
S102,E1,Entry,28,329,80,58,2991.0,68,358
S103,P145,Regular,164,329,12,20,147.5,170,339
S104,P144,Regular,177,332,14,21,171.5,184,342
S105,P143,Regular,191,334,14,23,183.5,198,345
S106,P142,Regular,205,338,15,22,188.0,212,349
S107,P141,Regular,220,341,12,22,137.0,226,352
S108,P140,Regular,231,344,16,23,202.5,239,355
S109,P139,Regular,247,347,15,23,198.0,254,358
S110,P138,Regular,262,352,13,21,154.5,268,362
S111,P137,Regular,275,355,16,21,183.0,283,365
S112,A5,Accessible,322,362,118,59,3664.5,381,391
S113,A4,Accessible,328,366,27,29,506.0,341,380
S114,A3,Accessible,351,371,26,30,511.0,364,386
S115,A2,Accessible,373,377,26,30,507.5,386,392
S116,P136,Regular,115,383,14,24,177.0,122,395
S117,A1,Accessible,398,383,29,31,644.0,412,398
S118,P135,Regular,129,387,14,23,160.5,136,398
S119,P134,Regular,23,389,57,165,4323.5,51,471
S120,P133,Regular,143,390,15,23,203.5,150,401
S121,P132,Regular,158,393,12,24,139.5,164,405
S122,P131,Regular,172,396,15,25,252.0,179,408
S123,P130,Regular,50,397,20,13,157.5,60,403
S124,P129,Regular,187,400,13,25,158.0,193,412
S125,P128,Regular,200,403,15,26,204.5,207,416
S126,P127,Regular,215,406,13,26,185.5,221,419
S127,P126,Regular,228,409,15,26,171.0,235,422
S128,P125,Regular,48,411,21,10,119.0,58,416
S129,P124,Regular,108,411,15,22,181.0,115,422
S130,P123,Regular,123,413,13,24,156.5,129,425
S131,P122,Regular,242,413,14,25,196.0,249,425
S132,P121,Regular,256,416,16,27,254.0,264,429
S133,P120,Regular,137,418,13,22,184.5,143,429
S134,P119,Regular,271,420,15,27,230.0,278,433
S135,P118,Regular,152,421,13,22,156.0,158,432
S136,P117,Regular,285,422,14,29,205.5,292,436
S137,P116,Regular,46,423,20,13,180.0,56,429
S138,P115,Regular,166,425,13,23,162.5,172,436
S139,P114,Regular,299,426,12,28,182.5,305,440
S140,P113,Regular,179,429,14,22,163.5,186,440
S141,P112,Regular,193,431,15,23,182.0,200,442
S142,P111,Regular,208,436,13,22,176.0,214,447
S143,P110,Regular,43,439,22,10,145.0,54,444
S144,P109,Regular,222,440,13,21,147.5,228,450
S145,P108,Regular,348,441,14,21,180.0,355,451
S146,P107,Regular,235,443,12,22,141.0,241,454
S147,P106,Regular,363,445,12,21,159.0,369,455
S148,P105,Regular,248,446,16,22,210.5,256,457
S149,P104,Regular,377,448,14,21,185.5,384,458
S150,P103,Regular,266,451,12,21,170.0,272,461
S151,P102,Regular,41,452,21,13,188.0,51,458
S152,P101,Regular,393,452,12,21,162.5,399,462
S153,P100,Regular,281,455,12,20,139.5,287,465
S154,P99,Regular,407,456,12,20,165.0,413,466
S155,P98,Regular,421,459,16,21,220.5,429,469
S156,P97,Regular,437,463,15,20,187.0,444,473
S157,P96,Regular,39,465,21,14,202.0,49,472
S158,P95,Regular,103,466,15,25,221.5,110,478
S159,P94,Regular,341,466,16,26,266.0,349,479
S160,P93,Regular,117,470,19,25,311.0,126,482
S161,P92,Regular,357,470,14,25,226.5,364,482
S162,P91,Regular,371,473,16,26,264.5,379,486
S163,P90,Regular,135,474,14,25,193.5,142,486
S164,P89,Regular,387,476,14,25,200.5,394,488
